class_name,sfiles_alias,is_primary,family,category,symbol_id,connection_count,display_name
SpringLoadedAngleGlobeSafetyValve,spring_loaded_angle_globe_safety_valve,False,safety_valve,VALVE,PV008B,2,Spring Loaded Angle Globe Safety Valve
SpringLoadedGlobeSafetyValve,spring_loaded_globe_safety_valve,False,safety_valve,VALVE,PV008B,2,Spring Loaded Globe Safety Valve
SteamTrap,steam_trap,False,,OTHER_PIPING,PV013A_Detail,2,Steam Trap
StraightwayValve,straightway_valve,False,,VALVE,PV648Z,2,Straightway Valve
Strainer,strainer,False,,FILTRATION,PS014A,2,Strainer
SwingCheckValve,swing_check_valve,False,check_valve,VALVE,PV013A_Detail,2,Swing Check Valve
TurbineFlowMeter,turbine_flow_meter,False,,FLOW_MEASUREMENT,PF002A,2,Turbine Flow Meter
VariableAreaFlowMeter,variable_area_flow_meter,False,,FLOW_MEASUREMENT,PF002A,2,Variable Area Flow Meter
VentilationDevice,ventilation_device,False,,OTHER_PIPING,PL035Z,2,Ventilation Device
VenturiTube,venturi_tube,False,,FLOW_MEASUREMENT,PF002A,2,Venturi Tube
VolumeFlowMeasuringElement,volume_flow_measuring_element,False,,FLOW_MEASUREMENT,PF002A,2,Volume Flow Measuring Element
